POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Rishabh Pant,14,14,1,684,128*,52.61,394,173.60,1,5,68,37
2,KL Rahul,14,14,2,659,95*,54.91,416,158.41,0,6,66,32
3,Kane Williamson,17,17,3,735,84,52.50,516,142.44,0,8,64,28
4,Suryakumar Yadav,14,14,0,512,72,36.57,384,133.33,0,4,61,16
5,Shikhar Dhawan,16,16,3,497,92*,38.23,363,136.91,0,4,59,14
6,Chris Lynn,16,16,1,491,74,32.73,377,130.23,0,3,56,18
7,Ambati Rayudu,16,16,2,602,100*,43.00,402,149.75,1,3,53,34
8,Jos Buttler,13,13,3,548,95*,54.80,353,155.24,0,5,52,21
9,Virat Kohli,14,14,3,530,92*,48.18,381,139.10,0,4,52,18
10,Dinesh Karthik,16,16,6,498,52,49.80,337,147.77,0,2,49,16
11,Suresh Raina,15,15,3,445,75*,37.08,336,132.44,0,4,46,12
12,Shane Watson,15,15,1,555,117*,39.64,359,154.59,2,2,44,35
13,Sunil Narine,16,16,0,357,75,22.31,188,189.89,0,2,40,23
14,AB de Villiers,12,11,2,480,90*,53.33,275,174.54,0,6,39,30
15,Ajinkya Rahane,15,14,1,370,65*,28.46,313,118.21,0,1,39,5
16,Evin Lewis,13,13,0,382,65,29.38,276,138.40,0,2,32,24
17,Sanju Samson,15,15,1,441,92*,31.50,320,137.81,0,3,30,19
18,Chris Gayle,11,11,2,368,104*,40.88,252,146.03,1,3,30,27
19,Robin Uthappa,16,16,0,351,54,21.93,265,132.45,0,1,30,21
20,Shreyas Iyer,14,14,3,411,93*,37.36,310,132.58,0,4,29,21
21,Prithvi Shaw,9,9,0,245,65,27.22,160,153.12,0,2,27,10
22,Nitish Rana,15,15,2,304,59,23.38,232,131.03,0,1,26,14
23,Shakib Al Hasan,17,13,2,239,35,21.72,197,121.31,0,0,26,5
24,Rohit Sharma,14,14,2,286,94,23.83,215,133.02,0,2,25,12
25,MS Dhoni,16,15,9,455,79*,75.83,302,150.66,0,3,24,30
26,Karun Nair,13,12,0,301,54,25.08,221,136.19,0,2,23,13
27,Manish Pandey,15,13,2,284,62*,25.81,246,115.44,0,3,22,5
28,Ishan Kishan,14,12,0,275,62,22.91,184,149.45,0,2,22,17
29,Yusuf Pathan,15,13,4,260,45*,28.88,200,130.00,0,0,22,11
30,Krunal Pandya,14,13,3,228,41*,22.80,157,145.22,0,0,22,10
31,Shubman Gill,13,11,5,203,57*,33.83,139,146.04,0,1,22,5
32,Hardik Pandya,13,13,4,260,50,28.88,195,133.33,0,1,20,11
33,Quinton de Kock,8,8,0,201,53,25.12,162,124.07,0,1,20,8
