POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,Maid,Avg,Econ,SR,4w,5w
1,Dale Steyn,12,12,46.4,285,18,2,15.83,6.10,15.55,0,0
2,Ben Hilfenhaus,9,9,34,233,14,2,16.64,6.85,14.57,0,0
3,Umesh Yadav,17,17,61,453,19,2,23.84,7.42,19.26,0,0
4,Praveen Kumar,16,16,63,434,9,2,48.22,6.88,42.00,0,0
5,Irfan Pathan,17,17,60,465,8,2,58.12,7.75,45.00,0,0
6,Munaf Patel,12,12,46.4,367,15,2,24.46,7.86,18.66,2,0
7,Lakshmipathy Balaji,8,8,29.5,162,11,1,14.72,5.43,16.27,1,0
8,Sunil Narine,15,15,59.1,324,24,1,13.50,5.47,14.79,1,1
9,Lasith Malinga,14,14,55.3,350,22,1,15.90,6.30,15.13,1,0
10,Shane Watson,7,7,23,161,6,1,26.83,7.00,23.00,0,0
11,Morne Morkel,16,16,63,453,25,1,18.12,7.19,15.12,1,0
12,Siddharth Trivedi,14,14,52,380,13,1,29.23,7.30,24.00,1,0
13,Dhawal Kulkarni,2,2,8,64,6,1,10.66,8.00,8.00,0,0
14,Wayne Parnell,6,6,21,128,5,1,25.60,6.09,25.20,0,0
15,Ashok Dinda,7,7,24,169,9,1,18.77,7.04,16.00,1,0
16,Harbhajan Singh,17,16,54,384,6,1,64.00,7.11,54.00,0,0
17,Kevon Cooper,6,6,24,174,10,1,17.40,7.25,14.40,1,0
18,Piyush Chawla,16,16,57,419,16,1,26.18,7.35,21.37,0,0
19,Zaheer Khan,16,15,60,453,17,1,26.64,7.55,21.17,0,0
20,Brett Lee,10,10,38,299,7,1,42.71,7.86,32.57,0,0
