POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Glenn Maxwell,16,16,0,552,95,34.50,294,187.75,0,4,48,36
2,Dwayne Smith,16,16,0,566,79,35.37,416,136.05,0,5,50,34
3,Yuvraj Singh,14,14,3,376,83,34.18,278,135.25,0,3,22,28
4,AB de Villiers,14,13,2,395,89*,35.90,249,158.63,0,3,26,24
5,David Warner,14,14,3,528,90,48.00,375,140.80,0,6,39,24
6,David Miller,16,16,6,446,66,44.60,299,149.16,0,3,34,21
7,JP Duminy,14,14,6,410,67*,51.25,305,134.42,0,2,22,20
8,Yusuf Pathan,15,12,3,268,72,29.77,165,162.42,0,1,15,20
9,MS Dhoni,16,15,10,371,57*,74.20,250,148.40,0,1,22,20
10,Brendon McCullum,14,14,1,405,71*,31.15,333,121.62,0,3,32,19
11,Suresh Raina,16,16,3,523,87,40.23,358,146.08,0,5,51,19
12,Robin Uthappa,16,16,1,660,83*,44.00,479,137.78,0,5,74,18
13,Wriddhiman Saha,17,13,2,362,115*,32.90,249,145.38,1,2,33,18
14,Virender Sehwag,17,17,0,455,122,26.76,315,144.44,1,1,56,18
15,Naman Ojha,11,10,4,232,79*,38.66,161,144.09,0,1,14,17
16,Sanju Samson,13,13,0,339,74,26.07,273,124.17,0,2,25,17
17,Manan Vohra,8,8,0,324,67,40.50,233,139.05,0,1,27,16
18,James Faulkner,13,12,8,181,41*,45.25,94,192.55,0,0,8,16
19,Virat Kohli,14,14,1,359,73,27.61,294,122.10,0,2,23,16
20,Rohit Sharma,15,15,2,390,59*,30.00,302,129.13,0,3,31,16
21,Corey Anderson,12,11,2,265,95*,29.44,181,146.40,0,1,21,15
22,Kieron Pollard,15,15,7,273,78,34.12,203,134.48,0,1,15,15
23,Lendl Simmons,8,8,1,394,100*,56.28,291,135.39,1,3,43,14
24,Shane Watson,13,13,1,240,51,20.00,196,122.44,0,2,19,14
25,Chris Gayle,9,9,0,196,46,21.77,184,106.52,0,0,18,12
26,Dinesh Karthik,14,14,0,325,69,23.21,258,125.96,0,3,28,11
27,Manish Pandey,16,16,3,401,94,30.84,340,117.94,0,2,35,10
28,George Bailey,17,16,7,257,40*,28.55,190,135.26,0,0,19,10
