POS,PLAYER,Runs,BF,4s,6s,SR,Against,Venue,Match Date
1,Kieron Pollard,83,31,3,10,267.74,KXIP,Wankhede Stadium,10 April 2019
2,Hardik Pandya,91,34,6,9,267.64,KKR,Eden Gardens,28 April 2019
3,Andre Russell,65,25,2,9,260.00,RCB,Eden Gardens,19 April 2019
4,Dinesh Karthik,97,50,7,9,194.00,RR,Eden Gardens,25 April 2019
5,Andre Russell,80,40,6,8,200.00,MI,Eden Gardens,28 April 2019
6,Andre Russell,48,13,1,7,369.23,RCB,M. Chinnaswamy Stadium,05 April 2019
7,Rishabh Pant,78,27,7,7,288.88,MI,Wankhede Stadium,24 March 2019
8,Jos Buttler,89,43,8,7,206.97,MI,Wankhede Stadium,13 April 2019
9,Jonny Bairstow,114,56,12,7,203.57,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
10,AB de Villiers,82,44,3,7,186.36,KXIP,M. Chinnaswamy Stadium,24 April 2019
11,Nitish Rana,63,34,2,7,185.29,KXIP,Eden Gardens,27 March 2019
12,Chris Gayle,63,36,3,7,175.00,MI,Wankhede Stadium,10 April 2019
13,MS Dhoni,84,48,5,7,175.00,RCB,M. Chinnaswamy Stadium,21 April 2019
14,Moeen Ali,66,28,5,6,235.71,KKR,Eden Gardens,19 April 2019
15,Andre Russell,62,28,4,6,221.42,DC,Feroz Shah Kotla Ground,30 March 2019
16,Shane Watson,96,53,9,6,181.13,SRH,Chidambaram,23 April 2019
17,AB de Villiers,70,41,4,6,170.73,MI,M. Chinnaswamy Stadium,28 March 2019
18,Chris Lynn,82,51,7,6,160.78,CSK,Eden Gardens,14 April 2019
19,Shimron Hetmyer,75,47,4,6,159.57,SRH,M. Chinnaswamy Stadium,04 May 2019
20,KL Rahul,100,64,6,6,156.25,MI,Wankhede Stadium,10 April 2019
21,Andre Russell,48,17,3,5,282.35,KXIP,Eden Gardens,27 March 2019
22,Rishabh Pant,49,21,2,5,233.33,SRH,ACA-VDCA Stadium,08 May 2019
23,KL Rahul,71,36,7,5,197.22,CSK,IS Bindra Stadium,05 May 2019
24,Chris Gayle,69,37,6,5,186.48,DC,Feroz Shah Kotla Ground,20 April 2019
25,Nitish Rana,85,46,9,5,184.78,RCB,Eden Gardens,19 April 2019
26,David Warner,100,55,5,5,181.81,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
27,David Warner,67,38,3,5,176.31,KKR,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
28,Nicholas Pooran,46,28,1,5,164.28,RCB,M. Chinnaswamy Stadium,24 April 2019
29,Moeen Ali,50,32,1,5,156.25,MI,Wankhede Stadium,15 April 2019
30,Chris Gayle,99,64,10,5,154.68,RCB,IS Bindra Stadium,13 April 2019
31,KL Rahul,79,56,4,5,141.07,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 April 2019
32,Rishabh Pant,53,38,2,5,139.47,RR,Feroz Shah Kotla Ground,04 May 2019
33,Andre Russell,49,19,4,4,257.89,SRH,Eden Gardens,24 March 2019
34,Rishabh Pant,78,36,6,4,216.66,RR,Sawai Mansingh Stadium,22 April 2019
35,Andre Russell,45,21,3,4,214.28,DC,Eden Gardens,12 April 2019
36,AB de Villiers,63,32,5,4,196.87,KKR,M. Chinnaswamy Stadium,05 April 2019
37,Martin Guptill,36,19,1,4,189.47,DC,ACA-VDCA Stadium,08 May 2019
38,Jonny Bairstow,80,43,7,4,186.04,KKR,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
39,Sanju Samson,102,55,10,4,185.45,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
40,Nicholas Pooran,48,27,3,4,177.77,KKR,IS Bindra Stadium,03 May 2019
41,Kieron Pollard,46,26,2,4,176.92,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 April 2019
42,Faf du Plessis,96,55,10,4,174.54,KXIP,IS Bindra Stadium,05 May 2019
43,Virat Kohli,100,58,9,4,172.41,KKR,Eden Gardens,19 April 2019
44,Quinton de Kock,29,17,0,4,170.58,CSK,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019
45,Shubman Gill,76,45,6,4,168.88,MI,Eden Gardens,28 April 2019
46,Chris Gayle,79,47,8,4,168.08,RR,Sawai Mansingh Stadium,25 March 2019
47,Chris Gayle,40,24,3,4,166.66,MI,IS Bindra Stadium,30 March 2019
48,MS Dhoni,75,46,4,4,163.04,RR,Chidambaram,31 March 2019
49,Kane Williamson,70,43,5,4,162.79,RCB,M. Chinnaswamy Stadium,04 May 2019
50,Shane Watson,50,32,3,4,156.25,DC,ACA-VDCA Stadium,10 May 2019
51,Quinton de Kock,81,52,6,4,155.76,RR,Wankhede Stadium,13 April 2019
52,AB de Villiers,75,51,6,4,147.05,MI,Wankhede Stadium,15 April 2019
53,Parthiv Patel,53,37,2,4,143.24,CSK,M. Chinnaswamy Stadium,21 April 2019
54,Faf du Plessis,54,38,2,4,142.10,KXIP,Chidambaram,06 April 2019
55,Chris Lynn,41,29,2,4,141.37,MI,Wankhede Stadium,05 May 2019
56,Shane Watson,80,59,8,4,135.59,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019
57,Virat Kohli,25,7,1,3,357.14,RR,M. Chinnaswamy Stadium,30 April 2019
58,Hardik Pandya,25,8,1,3,312.50,CSK,Wankhede Stadium,03 April 2019
59,Stuart Binny,33,11,2,3,300.00,KXIP,IS Bindra Stadium,16 April 2019
60,Sunil Narine,24,9,1,3,266.66,KXIP,Eden Gardens,27 March 2019
61,Hardik Pandya,28,11,1,3,254.54,RR,Wankhede Stadium,13 April 2019
62,Ishan Kishan,21,9,0,3,233.33,RCB,Wankhede Stadium,15 April 2019
63,Vijay Shankar,35,15,1,3,233.33,RR,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
64,Hardik Pandya,32,14,2,3,228.57,RCB,M. Chinnaswamy Stadium,28 March 2019
65,Sanju Samson,28,13,2,3,215.38,RCB,M. Chinnaswamy Stadium,30 April 2019
66,Sherfane Rutherford,28,13,1,3,215.38,RCB,Feroz Shah Kotla Ground,28 April 2019
67,Hardik Pandya,32,15,2,3,213.33,DC,Feroz Shah Kotla Ground,18 April 2019
68,Chris Lynn,46,22,5,3,209.09,KXIP,IS Bindra Stadium,03 May 2019
69,MS Dhoni,44,22,4,3,200.00,DC,Chidambaram,01 May 2019
70,Nitish Rana,26,13,0,3,200.00,MI,Wankhede Stadium,05 May 2019
71,Yuvraj Singh,23,12,0,3,191.66,RCB,M. Chinnaswamy Stadium,28 March 2019
72,Sunil Narine,47,25,6,3,188.00,RR,Sawai Mansingh Stadium,07 April 2019
73,Prithvi Shaw,99,55,12,3,180.00,KKR,Feroz Shah Kotla Ground,30 March 2019
74,Moeen Ali,32,18,1,3,177.77,DC,M. Chinnaswamy Stadium,07 April 2019
75,Ben Stokes,46,26,1,3,176.92,CSK,Chidambaram,31 March 2019
76,Manish Pandey,83,49,7,3,169.38,CSK,Chidambaram,23 April 2019
77,Shane Watson,44,26,4,3,169.23,DC,Feroz Shah Kotla Ground,26 March 2019
78,Liam Livingstone,44,26,4,3,169.23,SRH,Sawai Mansingh Stadium,27 April 2019
