POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
1,Andre Russell,369,14,11,61,31,52,4,0
2,Hardik Pandya,342,16,14,94,28,29,11,0
3,Deepak Chahar,274.5,17,22,190,1,0,2,0
4,Imran Tahir,255,17,26,149,0,0,6,0
5,Quinton de Kock,247.5,16,0,0,45,25,17,2
6,Rashid Khan,247.5,15,17,166,2,2,4,0
7,Rishabh Pant,247,16,0,0,37,27,18,6
8,Jasprit Bumrah,240.5,16,19,169,0,0,2,0
9,Ravindra Jadeja,234.5,16,15,128,7,4,9,0
10,Chris Gayle,231.5,13,0,0,45,34,0,0
11,KL Rahul,227.5,14,0,0,49,25,7,0
12,Bhuvneshwar Kumar,226,15,13,168,1,0,4,0
13,David Warner,221,12,0,0,57,21,2,0
14,Kagiso Rabada,219,12,25,113,0,1,6,0
15,Shreyas Gopal,213,14,20,107,8,1,5,0
16,Shikhar Dhawan,211,16,0,0,64,11,5,0
17,Krunal Pandya,211,16,12,94,18,5,5,0
18,Jonny Bairstow,210.5,10,0,0,48,18,9,2
19,Sunil Narine,205,12,10,96,17,9,0,0
20,Axar Patel,203,14,10,110,10,3,9,0
21,Mohammed Shami,198,14,19,119,0,0,5,0
22,Jofra Archer,191,11,11,121,4,4,3,0
23,Shane Watson,190,17,0,0,42,20,6,0
24,Yuzvendra Chahal,187.5,14,18,117,0,0,3,0
25,Navdeep Saini,187,13,11,141,0,0,3,0
26,Moeen Ali,186,11,6,63,16,17,1,0
27,AB de Villiers,183.5,13,0,0,31,26,6,0
28,Harbhajan Singh,183,11,16,117,0,0,4,0
29,Rahul Chahar,183,13,13,125,2,0,3,0
30,Chris Lynn,182,13,0,0,41,22,1,0
31,Ravichandran Ashwin,180.5,14,15,100,3,3,4,0
32,Ishant Sharma,176,13,13,122,1,1,1,0
33,MS Dhoni,175.5,15,0,0,22,23,11,5
34,Rohit Sharma,175,15,0,0,52,10,4,0
35,Parthiv Patel,175,14,0,0,48,10,6,2
36,Nitish Rana,174,14,3,15,27,21,3,0
37,Virat Kohli,173,14,0,0,46,13,5,0
38,Faf du Plessis,172.5,12,0,0,36,15,12,0
39,Shreyas Iyer,171.5,16,0,0,41,14,8,0
40,Suryakumar Yadav,170,16,0,0,45,10,9,0
41,Jos Buttler,164,8,0,0,38,14,8,0
42,Suresh Raina,162.5,17,0,1,45,9,7,0
43,Ajinkya Rahane,156.5,14,0,0,45,9,5,0
44,Mohammad Nabi,156.5,8,8,69,8,7,6,0
45,Khaleel Ahmed,153.5,9,19,87,0,0,0,0
46,Piyush Chawla,151.5,13,10,87,4,2,5,0
47,Dwayne Bravo,150.5,12,11,74,6,3,5,0
48,Lasith Malinga,149.5,12,16,91,0,0,1,0
49,Prithvi Shaw,149,16,0,0,45,9,2,0
50,Sam Curran,143,9,10,60,13,3,2,0
51,Umesh Yadav,137,11,8,88,3,1,4,0
52,Chris Morris,133,9,13,68,1,2,4,0
53,Kieron Pollard,132,16,0,0,14,22,8,0
54,Mayank Agarwal,131.5,13,0,0,26,14,7,0
55,Amit Mishra,129,11,11,83,2,0,1,0
56,Sandeep Sharma,129,11,12,82,1,0,1,0
57,Sanju Samson,128,12,0,0,28,13,4,1
58,Manish Pandey,123.5,12,0,0,34,6,7,0
59,Dinesh Karthik,121.5,14,0,0,22,14,7,0
60,Robin Uthappa,115,12,0,0,28,10,4,0
61,Prasidh Krishna,114,11,4,95,0,0,2,0
62,Marcus Stoinis,114,10,2,32,14,10,2,0
63,Dhawal Kulkarni,113,10,6,77,1,0,5,0
64,Vijay Shankar,112,15,1,14,11,12,10,0
65,Shardul Thakur,111.5,10,8,65,1,1,5,0
66,Shubman Gill,105,14,0,0,21,10,7,0
67,Keemo Paul,104,8,9,54,1,1,5,0
68,Jaydev Unadkat,103,11,10,58,0,0,4,0
69,Mohammed Siraj,98.5,9,7,69,0,0,2,0
70,Riyan Parag,97.5,7,2,18,17,5,5,0
71,Steve Smith,96.5,12,0,0,30,4,3,0
72,Ben Stokes,93.5,9,6,31,8,4,3,0
73,Ambati Rayudu,89.5,17,0,0,20,7,6,0
74,David Miller,89.5,10,0,0,19,7,7,0
75,Murugan Ashwin,84,10,5,59,0,0,3,0
76,Sandeep Lamichhane,80,6,8,47,0,0,2,0
77,Siddarth Kaul,79.5,7,6,56,0,0,1,0
78,Kuldeep Yadav,78,9,4,54,1,0,3,0
79,Nicholas Pooran,76.5,7,0,0,10,14,1,0
80,Harry Gurney,75.5,8,7,51,0,0,0,0
81,Hardus Viljoen,74,6,7,47,0,0,1,0
82,Jason Behrendorff,71.5,5,5,54,0,0,0,0
83,Trent Boult,70,5,5,44,0,1,2,0
84,Colin Ingram,70,12,0,0,20,5,1,0
85,Kedar Jadhav,68,14,0,0,19,3,4,0
86,Mitchell Santner,64,4,4,37,0,3,1,0
87,Sarfaraz Khan,61.5,8,0,0,19,4,0,0
88,Mitchell McClenaghan,60.5,5,3,45,2,0,0,0
89,Sherfane Rutherford,53.5,7,1,8,2,7,5,0
90,Alzarri Joseph,53.5,3,6,25,2,0,1,0
91,Kane Williamson,52.5,9,0,0,12,5,2,0
92,Mandeep Singh,50,13,0,1,10,4,4,0
93,Mujeeb Ur Rahman,50,5,3,37,0,0,1,0
94,Rahul Tewatia,49.5,5,2,19,2,1,6,0
95,Wriddhiman Saha,48.5,5,0,0,13,1,4,1
96,Ankit Rajpoot,48,4,3,35,0,0,1,0
97,Krishnappa Gowtham,47.5,7,1,38,1,1,0,0
98,Rahul Tripathi,47,8,0,0,13,2,3,0
99,Andrew Tye,45.5,6,3,30,0,0,2,0
100,Liam Livingstone,45.5,4,0,3,6,5,4,0
101,Pawan Negi,45.5,7,3,25,1,0,3,0
102,Deepak Hooda,45.5,11,1,1,5,1,10,0
103,Varun Aaron,44.5,5,4,28,0,0,1,0
104,Stuart Binny,43,8,1,13,5,4,0,0
105,Oshane Thomas,42,4,5,22,0,0,1,0
106,Shimron Hetmyer,42,5,0,0,4,7,3,0
107,Washington Sundar,40,3,4,21,0,0,2,0
108,Sandeep Warrier,39.5,3,2,30,0,0,1,0
109,Ishan Kishan,39,7,0,0,8,4,2,0
110,Yuvraj Singh,38.5,4,0,0,7,6,0,0
111,Lockie Ferguson,37,5,2,30,0,0,0,0
112,Gurkeerat Mann Singh,37,3,0,0,11,2,1,0
113,Martin Guptill,37,3,0,0,4,7,1,0
114,Colin Munro,36.5,4,0,0,9,4,0,0
115,Dale Steyn,34,2,4,20,0,0,0,0
116,Arshdeep Singh,30.5,3,3,20,0,0,0,0
117,Tim Southee,30,3,1,19,0,0,3,0
118,Ish Sodhi,29,2,4,15,0,0,0,0
119,Shakib Al Hasan,29,3,2,22,0,0,0,0
120,Jayant Yadav,25.5,2,1,17,0,0,2,0
121,Evin Lewis,24.5,3,0,0,4,2,3,0
122,Scott Kuggeleijn,24,2,2,17,0,0,0,0
123,Harshal Patel,22,2,2,15,0,0,0,0
124,Akshdeep Nath,22,8,0,0,5,2,1,0
125,Colin de Grandhomme,21.5,4,0,2,4,2,1,0
126,Murali Vijay,21,2,0,0,6,1,1,0
127,Basil Thampi,21,3,0,21,0,0,0,0
128,Shivam Dube,18.5,4,0,3,1,3,1,0
129,Jagadeesha Suchith,18,1,2,11,0,0,0,0
130,Mayank Markande,17,3,1,11,1,0,0,0
131,Shahbaz Nadeem,17,3,2,10,0,0,0,0
132,Harpreet Brar,15.5,2,0,7,2,1,0,0
133,Kulwant Khejroliya,13.5,2,1,10,0,0,0,0
134,Avesh Khan,12,1,0,7,1,0,1,0
135,Rinku Singh,12,5,0,0,1,2,1,0
136,Mohit Sharma,11.5,1,1,8,0,0,0,0
137,Varun Chakravarthy,11.5,1,1,8,0,0,0,0
